GardID	Name	OrphaCode	Linearization Class	SNOMED concept ID	code
6867.0	Long chain 3-hydroxyacyl-CoA dehydrogenase deficiency	5	Rare inborn errors of metabolism	726021008.0	
10954.0	3-methylcrotonyl-CoA carboxylase deficiency	6	Rare inborn errors of metabolism	13144005.0	
5666.0	3C syndrome	7	Rare developmental defect during embryogenesis	718556007.0	
5674.0	47,XYY syndrome	8	Rare developmental defect during embryogenesis	50749006.0	Q98.5
7754.0	Tetrasomy X	9	Rare developmental defect during embryogenesis	10567003.0	
5677.0	48,XXYY syndrome	10	Rare developmental defect during embryogenesis	403760006.0	
5678.0	Pentasomy X	11	Rare developmental defect during embryogenesis	43248007.0	
5.0	Abetalipoproteinemia	14	Rare endocrine disease	190787008.0	
8173.0	Achondroplasia	15	Rare bone disease	86268005.0	Q77.4
917.0	Blue cone monochromatism	16	Rare ophthalmic disorder	789676005.0	
3163.0	Fatal infantile lactic acidosis with methylmalonic aciduria	17	Rare inborn errors of metabolism	715338007.0	
4667.0	Distal renal tubular acidosis	18	Rare renal disease	236461000.0	
8387.0	3-hydroxy-3-methylglutaric aciduria	20	Rare inborn errors of metabolism	410059004.0	
7695.0	Succinic semialdehyde dehydrogenase deficiency	22	Rare inborn errors of metabolism	49748000.0	
5843.0	Argininosuccinic aciduria	23	Rare inborn errors of metabolism	41013004.0	
6476.0	Fumaric aciduria	24	Rare inborn errors of metabolism	237983002.0	
6522.0	Glutaryl-CoA dehydrogenase deficiency	25	Rare inborn errors of metabolism	360416003.0	
3579.0	Methylmalonic acidemia with homocystinuria	26	Rare inborn errors of metabolism	80887004.0	
3586.0	Vitamin B12-unresponsive methylmalonic acidemia	27	Rare inborn errors of metabolism	124680001.0	
12623.0	Vitamin B12-responsive methylmalonic acidemia	28	Rare inborn errors of metabolism	69614003.0	
3588.0	Mevalonic aciduria	29	Rare inborn errors of metabolism	718558008.0	
5429.0	Hereditary orotic aciduria	30	Rare inborn errors of metabolism	16242007.0	
617.0	Oxoglutaric aciduria	31	Rare inborn errors of metabolism	733630004.0	
10047.0	Glutathione synthetase deficiency	32	Rare hematologic disease	234589002.0	
465.0	Isovaleric acidemia	33	Rare inborn errors of metabolism	87827003.0	
467.0	Propionic acidemia	35	Rare inborn errors of metabolism	69080001.0	
5721.0	Acrocallosal syndrome	36	Rare developmental defect during embryogenesis	715951007.0	
5723.0	Acrodermatitis enteropathica	37	Rare skin disease	37702000.0	
125.0	Acrokeratoelastoidosis of Costa	38	Rare skin disease	111029001.0	
4500.0	Acromelanosis	39	Rare skin disease	239089006.0	
507.0	Acromesomelic dysplasia, Maroteaux type	40	Rare bone disease	718559000.0	
334.0	Dyschromatosis symmetrica hereditaria	41	Rare skin disease	239085000.0	
540.0	Medium chain acyl-CoA dehydrogenase deficiency	42	Rare inborn errors of metabolism	128596003.0	
5758.0	X-linked adrenoleukodystrophy	43	Rare inborn errors of metabolism	65389002.0	
559.0	Neonatal adrenoleukodystrophy	44	Rare inborn errors of metabolism	238061001.0	
547.0	Adenosine monophosphate deaminase deficiency	45	Rare inborn errors of metabolism	124525004.0	
550.0	Adenylosuccinate lyase deficiency	46	Rare neurologic disease	15285008.0	
1033.0	X-linked agammaglobulinemia	47	Rare immune disease	65880007.0	
5461.0	Congenital bilateral absence of vas deferens	48	Rare developmental defect during embryogenesis	275416002.0	
4272.0	Penile agenesis	49	Rare developmental defect during embryogenesis	59981001.0	Q55.5
5764.0	Aicardi syndrome	50	Rare developmental defect during embryogenesis	80651009.0	
575.0	Aicardi-Goutières syndrome	51	Rare neurologic disease	230312006.0	
804.0	Alagille syndrome	52	Rare developmental defect during embryogenesis	31742004.0	
383.0	Albers-Schönberg osteopetrosis	53	Rare bone disease	725050005.0	
8471.0	X-linked recessive ocular albinism	54	Rare ophthalmic disorder	78642008.0	
5775.0	Alkaptonuria	56	Rare inborn errors of metabolism	360378009.0	
600.0	Glycogen storage disease due to aldolase A deficiency	57	Rare inborn errors of metabolism	1187461004.0	
5774.0	Alexander disease	58	Rare neurologic disease	81854007.0	
5617.0	Allan-Herndon-Dudley syndrome	59	Rare neurologic disease	702327009.0	
5784.0	Alpha-1-antitrypsin deficiency	60	Rare respiratory disease	30188007.0	
6968.0	Alpha-mannosidosis	61	Rare inborn errors of metabolism	124466001.0	
438.0	Alpha-sarcoglycan-related limb-girdle muscular dystrophy R3	62	Rare neurologic disease	715340002.0	
5785.0	Alport syndrome	63	Rare renal disease	770414008.0	
5787.0	Alström syndrome	64	Rare developmental defect during embryogenesis	63702009.0	
634.0	Leber congenital amaurosis	65	Rare ophthalmic disorder	193413001.0	
18675.0	Amoebiasis due to Entamoeba histolytica	67	Rare infectious disease	388759003.0	
12650.0	Amoebiasis due to free-living amoebae	68	Rare infectious disease	266169003.0	
4531.0	Proximal spinal muscular atrophy	70	Rare neurologic disease	5262007.0	
9683.0	Chylomicron retention disease	71	Rare endocrine disease	702364003.0	
5810.0	Angelman syndrome	72	Rare neurologic disease	76880004.0	
6542.0	Gorham-Stout disease	73	Rare developmental defect during embryogenesis	1515008.0	
683.0	Angiostrongyliasis	74	Rare infectious disease	61750000.0	
8195.0	Strongyloidiasis	76	Rare infectious disease	1214006.0	
9742.0	Ankylostomiasis	78	Rare infectious disease	63479002.0	
731.0	Congenital alpha2-antiplasmin deficiency	79	Rare hematologic disease	716746003.0	
735.0	Antisynthetase syndrome	81	Rare systemic or rheumatologic disease	445187004.0	
6148.0	Hereditary thrombophilia due to congenital antithrombin deficiency	82	Rare hematologic disease	439699000.0	
5826.0	Antley-Bixler syndrome	83	Rare developmental defect during embryogenesis	62964007.0	
6425.0	Fanconi anemia	84	Rare developmental defect during embryogenesis	30575002.0	
9181.0	Familial abdominal aortic aneurysm	86	Rare circulatory system disease	715364001.0	
5833.0	Apert syndrome	87	Rare developmental defect during embryogenesis	205258009.0	
5836.0	Idiopathic aplastic anemia	88	Rare hematologic disease	191256002.0	D61.0
5840.0	Argininemia	90	Rare inborn errors of metabolism	23501004.0	
365.0	Aromatase deficiency	91	Rare endocrine disease	425708006.0	
5854.0	Aspartylglucosaminuria	93	Rare inborn errors of metabolism	54954004.0	
6468.0	Friedreich ataxia	95	Rare neurologic disease	10394003.0	
8595.0	Ataxia with vitamin E deficiency	96	Rare neurologic disease	702442008.0	
9602.0	Familial paroxysmal ataxia	97	Rare neurologic disease	420932006.0	
4910.0	Autosomal recessive spastic ataxia of Charlevoix-Saguenay	98	Rare neurologic disease	702445005.0	
5862.0	Ataxia-telangiectasia	100	Rare neurologic disease	68504005.0	
5643.0	Dentatorubral pallidoluysian atrophy	101	Rare neurologic disease	68116008.0	
7079.0	Multiple system atrophy	102	Rare neurologic disease	230297002.0	
6870.0	Leber hereditary optic neuropathy	104	Rare ophthalmic disorder	58610003.0	
18678.0	Atresia of urethra	105	Rare developmental defect during embryogenesis	253902002.0	Q64.3
10147.0	BOR syndrome	107	Rare developmental defect during embryogenesis	290006.0	
5878.0	Babesiosis	108	Rare infectious disease	21061004.0	B60.0
5887.0	Bannayan-Riley-Ruvalcaba syndrome	109	Rare developmental defect during embryogenesis	234138005.0	
6866.0	Bardet-Biedl syndrome	110	Rare developmental defect during embryogenesis	5619004.0	
5890.0	Barth syndrome	111	Rare inborn errors of metabolism	297231002.0	
5893.0	Bartter syndrome	112	Rare renal disease	707742001.0	
838.0	Bazex-Dupré-Christol syndrome	113	Rare skin disease	254820002.0	
8663.0	Auriculoosteodysplasia	114	Rare bone disease	50123005.0	
5899.0	Congenital contractural arachnodactyly	115	Rare developmental defect during embryogenesis	205821003.0	
3343.0	Beckwith-Wiedemann syndrome	116	Rare developmental defect during embryogenesis	81780002.0	
848.0	Behçet disease	117	Rare systemic or rheumatologic disease	310701003.0	M35.2
869.0	Beta-mannosidosis	118	Rare inborn errors of metabolism	238047006.0	
3851.0	Beta-sarcoglycan-related limb-girdle muscular dystrophy R4	119	Rare neurologic disease	718850008.0	
2322.0	Birt-Hogg-Dubé syndrome	122	Rare neoplastic disease	1263460007.0	
22.0	Björnstad syndrome	123	Rare inborn errors of metabolism	67817003.0	
6274.0	Diamond-Blackfan anemia	124	Rare hematologic disease	71988008.0	
915.0	Bloom syndrome	125	Rare developmental defect during embryogenesis	4434006.0	
23.0	Blepharophimosis-ptosis-epicanthus inversus syndrome	126	Rare developmental defect during embryogenesis	715391004.0	
936.0	Borjeson-Forssman-Lehmann syndrome	127	Rare developmental defect during embryogenesis	21634003.0	
942.0	Diphyllobothriasis	128	Rare infectious disease	187151009.0	B70.0
4536.0	Pseudopelade of Brocq	129	Rare skin disease	238731001.0	
1030.0	Brugada syndrome	130	Rare cardiac disease	418818005.0	
5968.0	Budd-Chiari syndrome	131	Rare hepatic disease	82385007.0	
7482.0	Butyrylcholinesterase deficiency	132	Rare inborn errors of metabolism	360619001.0	
867.0	Chronic beryllium disease	133	Rare respiratory disease	18121009.0	J63.2
872.0	Beta-ketothiolase deficiency	134	Rare inborn errors of metabolism	124258007.0	
231.0	CACH syndrome	135	Rare neurologic disease	447351004.0	
1049.0	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy	136	Rare neurologic disease	390936003.0	
29.0	CHARGE syndrome	138	Rare developmental defect during embryogenesis	47535005.0	
6039.0	CHILD syndrome	139	Rare developmental defect during embryogenesis	17608003.0	
10027.0	Campomelic dysplasia	140	Rare bone disease	74928006.0	
5984.0	Canavan disease	141	Rare neurologic disease	80544005.0	
664.0	Anaplastic thyroid carcinoma	142	Rare neoplastic disease	1268458008.0	
7329.0	Parathyroid carcinoma	143	Rare neoplastic disease	1268460005.0	
9905.0	Lynch syndrome	144	Rare neoplastic disease	716318002.0	
15010.0	Hereditary breast and/or ovarian cancer syndrome	145	Rare neoplastic disease	718220008.0	
12027.0	Differentiated thyroid carcinoma	146	Rare neoplastic disease	772992009.0	
7269.0	Carbamoyl-phosphate synthetase 1 deficiency	147	Rare inborn errors of metabolism	765329008.0	
7163.0	Nasopharyngeal carcinoma	150	Rare neoplastic disease	1268487009.0	
2905.0	Familial isolated dilated cardiomyopathy	154	Rare cardiac disease	52029003.0	
