GardID	ORPHAcode	SourceName	SNOMED concept ID
69	319247	Hantavirus pulmonary syndrome	120639003
86	314597	Chudley-McCullough syndrome	773610007
73	101088	X-linked hyper-IgM syndrome	403835002
79	33067	Metaphyseal chondrodysplasia, Jansen type	24629003
16	1125	Ocular motor apraxia, Cogan type	405809000
19	1675	Dihydropyrimidine dehydrogenase deficiency	77365006
27	50839	Cat-scratch disease	79974007
31	35686	Serpiginous choroiditis	312491004
39	3466	WT limb-blood syndrome	719019000
44	2342	Haim-Munk syndrome	719973009
45	291	Congenital varicella syndrome	715223009
48	254905	Isolated cytochrome C oxidase deficiency	1264009006
794	2697	Arthrogryposis-renal dysfunction-cholestasis syndrome	720513002
809	1223	Balantidiasis	57725006
759	309020	Familial apolipoprotein C-II deficiency	33513003
764	1130	Arachnodactyly-intellectual disability-dysmorphism syndrome	720502000
770	35708	Aromatic L-amino acid decarboxylase deficiency	124600004
853	100978	Cloverleaf skull-asphyxiating thoracic dysplasia syndrome	783181006
857	306	Benign familial infantile epilepsy	1237571004
332	1555	Cutis gyrata-acanthosis nigricans-craniosynostosis syndrome	703528008
584	2153	Hirschsprung disease-nail hypoplasia-dysmorphism syndrome	721223002
526	98833	Acute myeloblastic leukemia without maturation	359640008
527	98834	Acute myeloblastic leukemia with maturation	359648001
454	674	Accessory pancreas	79037006
555	95702	X-linked adrenal hypoplasia congenita	237764004
348	876	Yolk sac tumor	404081005
194	2066	Gamma-aminobutyric acid transaminase deficiency	237941007
198	83419	Proximal spinal muscular atrophy type 3	54280009
200	443079	Central serous chorioretinopathy	312956001
575	51	Aicardi-Goutières syndrome	230312006
613	700	Alopecia totalis	19754005
212	2709	Oculodental syndrome, Rutherfurd type	699754008
215	1768	Familial caudal dysgenesis	722493007
624	88918	Autosomal dominant Alport syndrome	717766000
625	88919	Autosomal recessive Alport syndrome	717767009
469	2561	Pyramidal molars-abnormal upper lip syndrome	722280000
223	252175	Vestibular schwannoma	126949007
229	1532	Gómez-López-Hernández syndrome	722451006
645	100031	Hypoplastic amelogenesis imperfecta	109476006
236	2186	Hydrocephalus-blue sclerae-nephropathy syndrome	773280009
122	85191	Singleton-Merten dysplasia	254114000
693	1070	Anisakiasis	442652006
265	3351	Trichodental syndrome	277810000
730	2194	Anti-HLA hyperimmunization	720497002
738	2037	Congenital aortopulmonary window	17024001
277	2892	Pilodental dysplasia-refractive errors syndrome	771240009
429	295000	Constriction rings syndrome	765206003
140	1201	Atresia of small intestine	84296002
284	86915	Lymphedema-atrial septal defects-facial changes syndrome	721978002
296	2832	Short tarsus-absence of lower eyelashes syndrome	721075001
302	99749	Kostmann syndrome	770942003
306	2848	Camptodactyly-arthropathy-coxa-vara-pericarditis syndrome	771187008
393	879	Tungiasis	64612002
524	518	Acute megakaryoblastic leukemia	277602003
324	2230	Hypogonadotropic hypogonadism-frontoparietal alopecia syndrome	721842008
325	95431	Twin to twin transfusion syndrome	13404009
7252	2737	Onchocerciasis	38539003
7296	213512	Malignant mixed Müllerian tumor of the ovary	1268526001
7146	178342	Inflammatory myofibroblastic tumor	771233008
7148	53698	Hyaline body myopathy	699267007
7163	150	Nasopharyngeal carcinoma	1268487009
7206	77292	Infantile neurovisceral acid sphingomyelinase deficiency	52165006
7323	73260	Paracoccidioidomycosis	59925007
7303	180275	Paget disease of the nipple	1268908007
3785	309297	Mucopolysaccharidosis type 4A	7259005
1802	283	Demodicidosis	414495006
1806	99791	Dentin dysplasia type II	109494000
1807	99789	Dentin dysplasia type I	109493006
