OrphaCode,Name,Linearization Class
276413,10q22.3q23.3 microdeletion syndrome,Rare developmental defect during embryogenesis
276422,10q22.3q23.3 microduplication syndrome,Rare developmental defect during embryogenesis
300305,11p15.4 microduplication syndrome,Rare developmental defect during embryogenesis
444002,11q22.2q22.3 microdeletion syndrome,Rare developmental defect during embryogenesis
313884,12p12.1 microdeletion syndrome,Rare developmental defect during embryogenesis
94063,12q14 microdeletion syndrome,Rare bone disease
289513,12q15q21.1 microdeletion syndrome,Rare developmental defect during embryogenesis
412035,13q12.3 microdeletion syndrome,Rare developmental defect during embryogenesis
261120,14q11.2 microdeletion syndrome,Rare developmental defect during embryogenesis
261229,14q11.2 microduplication syndrome,Rare developmental defect during embryogenesis
264200,14q22q23 microdeletion syndrome,Rare developmental defect during embryogenesis
401935,14q24.1q24.3 microdeletion syndrome,Rare neurologic disease
488280,14q32 duplication syndrome,Rare neoplastic disease
314585,15q overgrowth syndrome,Rare developmental defect during embryogenesis
261183,15q11.2 microdeletion syndrome,Rare developmental defect during embryogenesis
238446,15q11q13 microduplication syndrome,Rare developmental defect during embryogenesis
199318,15q13.3 microdeletion syndrome,Rare developmental defect during embryogenesis
261190,15q14 microdeletion syndrome,Rare developmental defect during embryogenesis
94065,15q24 microdeletion syndrome,Rare developmental defect during embryogenesis
261211,16p11.2p12.2 microdeletion syndrome,Rare developmental defect during embryogenesis
261204,16p11.2p12.2 microduplication syndrome,Rare developmental defect during embryogenesis
485405,16p12.1p12.3 triplication syndrome,Rare developmental defect during embryogenesis
261236,16p13.11 microdeletion syndrome,Rare developmental defect during embryogenesis
261243,16p13.11 microduplication syndrome,Rare developmental defect during embryogenesis
96078,16p13.3 microduplication syndrome,Rare developmental defect during embryogenesis
352629,16q24.1 microdeletion syndrome,Rare developmental defect during embryogenesis
261250,16q24.3 microdeletion syndrome,Rare developmental defect during embryogenesis
1713,17p11.2 microduplication syndrome,Rare developmental defect during embryogenesis
217385,17p13.3 microduplication syndrome,Rare developmental defect during embryogenesis
97685,17q11 microdeletion syndrome,Rare developmental defect during embryogenesis
139474,17q11.2 microduplication syndrome,Rare developmental defect during embryogenesis
261265,17q12 microdeletion syndrome,Rare developmental defect during embryogenesis
261272,17q12 microduplication syndrome,Rare developmental defect during embryogenesis
363958,17q21.31 microdeletion syndrome,Rare developmental defect during embryogenesis
217340,17q21.31 microduplication syndrome,Rare developmental defect during embryogenesis
261279,17q23.1q23.2 microdeletion syndrome,Rare developmental defect during embryogenesis
529962,17q24.2 microdeletion syndrome,Rare developmental defect during embryogenesis
254346,19p13.12 microdeletion syndrome,Rare developmental defect during embryogenesis
357001,19p13.13 microdeletion syndrome,Rare developmental defect during embryogenesis
447980,19p13.3 microduplication syndrome,Rare developmental defect during embryogenesis
217346,19q13.11 microdeletion syndrome,Rare developmental defect during embryogenesis
293948,1p21.3 microdeletion syndrome,Rare developmental defect during embryogenesis
401986,1p31p32 microdeletion syndrome,Rare developmental defect during embryogenesis
456298,1p35.2 microdeletion syndrome,Rare developmental defect during embryogenesis
1606,1p36 deletion syndrome,Rare developmental defect during embryogenesis
250989,1q21.1 microdeletion syndrome,Rare developmental defect during embryogenesis
250994,1q21.1 microduplication syndrome,Rare developmental defect during embryogenesis
250999,1q41q42 microdeletion syndrome,Rare developmental defect during embryogenesis
238769,1q44 microdeletion syndrome,Rare developmental defect during embryogenesis
261295,20p12.3 microdeletion syndrome,Rare developmental defect during embryogenesis
313781,20p13 microdeletion syndrome,Rare developmental defect during embryogenesis
444051,20q11.2 microdeletion syndrome,Rare developmental defect during embryogenesis
363659,20q11.2 microduplication syndrome,Rare developmental defect during embryogenesis
261311,20q13.33 microdeletion syndrome,Rare developmental defect during embryogenesis
574,21q deletion syndrome,Rare developmental defect during embryogenesis
261323,21q22.11q22.12 microdeletion syndrome,Rare developmental defect during embryogenesis
567,22q11.2 deletion syndrome,Rare developmental defect during embryogenesis
1727,22q11.2 duplication syndrome,Rare developmental defect during embryogenesis
79154,2-aminoadipic 2-oxoadipic aciduria,Rare inborn errors of metabolism
79157,2-methylbutyryl-CoA dehydrogenase deficiency,Rare inborn errors of metabolism
363680,2p13.2 microdeletion syndrome,Rare developmental defect during embryogenesis
261349,2p15p16.1 microdeletion syndrome,Rare developmental defect during embryogenesis
163693,2p21 microdeletion syndrome,Rare inborn errors of metabolism
369881,2p21 microdeletion syndrome without cystinuria,Rare developmental defect during embryogenesis
228402,2q23.1 microdeletion syndrome,Rare developmental defect during embryogenesis
313947,2q23.1 microduplication syndrome,Rare developmental defect during embryogenesis
1617,2q24 microdeletion syndrome,Rare developmental defect during embryogenesis
251014,2q31.1 microdeletion syndrome,Rare developmental defect during embryogenesis
251019,2q32q33 microdeletion syndrome,Rare developmental defect during embryogenesis
1001,2q37 microdeletion syndrome,Rare developmental defect during embryogenesis
7,3C syndrome,Rare developmental defect during embryogenesis
20,3-hydroxy-3-methylglutaric aciduria,Rare inborn errors of metabolism
35701,3-hydroxy-3-methylglutaryl-CoA synthase deficiency,Rare inborn errors of metabolism
939,3-hydroxyisobutyric aciduria,Rare inborn errors of metabolism
2616,3M syndrome,Rare bone disease
293843,3MC syndrome,Rare developmental defect during embryogenesis
6,3-methylcrotonyl-CoA carboxylase deficiency,Rare inborn errors of metabolism
67046,3-methylglutaconic aciduria type 1,Rare inborn errors of metabolism
67047,3-methylglutaconic aciduria type 3,Rare inborn errors of metabolism
67048,3-methylglutaconic aciduria type 4,Rare inborn errors of metabolism
445038,3-methylglutaconic aciduria type 7,Rare inborn errors of metabolism
505208,3-methylglutaconic aciduria type 8,Rare neurologic disease
505216,3-methylglutaconic aciduria type 9,Rare neurologic disease
435638,3p25.3 microdeletion syndrome,Rare neurologic disease
79351,"3-phosphoglycerate dehydrogenase deficiency, infantile/juvenile form",Rare neurologic disease
79350,"3-phosphoserine phosphatase deficiency, infantile/juvenile form",Rare neurologic disease
1621,3q13 microdeletion syndrome,Rare developmental defect during embryogenesis
96095,3q26 microduplication syndrome,Rare developmental defect during embryogenesis
356947,3q26q27 microdeletion syndrome,Rare developmental defect during embryogenesis
397695,3q27.3 microdeletion syndrome,Rare developmental defect during embryogenesis
65286,3q29 microdeletion syndrome,Rare developmental defect during embryogenesis
251038,3q29 microduplication syndrome,Rare developmental defect during embryogenesis
1772,"45,X/46,XY mixed gonadal dysgenesis",Rare developmental defect during embryogenesis
2973,"46,XX difference of sex development-anorectal anomalies syndrome",Rare developmental defect during embryogenesis
2975,"46,XX difference of sex development-skeletal anomalies syndrome",Rare developmental defect during embryogenesis
243,"46,XX gonadal dysgenesis",Rare developmental defect during embryogenesis
444048,"46,XX ovarian dysgenesis-short stature syndrome",Rare developmental defect during embryogenesis
2138,"46,XX ovotesticular difference of sex development",Rare developmental defect during embryogenesis
393,"46,XX testicular difference of sex development",Rare developmental defect during embryogenesis
242,"46,XY complete gonadal dysgenesis",Rare developmental defect during embryogenesis
752,"46,XY difference of sex development due to 17-beta-hydroxysteroid dehydrogenase 3 deficiency",Rare developmental defect during embryogenesis
753,"46,XY difference of sex development due to 5-alpha-reductase 2 deficiency",Rare developmental defect during embryogenesis
90796,"46,XY difference of sex development due to isolated 17,20-lyase deficiency",Rare developmental defect during embryogenesis
443087,"46,XY difference of sex development due to testicular 17,20-desmolase deficiency",Rare developmental defect during embryogenesis
168558,"46,XY difference of sex development-adrenal insufficiency due to CYP11A1 deficiency",Rare developmental defect during embryogenesis
168563,"46,XY gonadal dysgenesis-motor and sensory neuropathy syndrome",Rare developmental defect during embryogenesis
325345,"46,XY ovotesticular difference of sex development",Rare developmental defect during embryogenesis
251510,"46,XY partial gonadal dysgenesis",Rare developmental defect during embryogenesis
8,"47,XYY syndrome",Rare developmental defect during embryogenesis
96263,"48,XXXY syndrome",Rare developmental defect during embryogenesis
10,"48,XXYY syndrome",Rare developmental defect during embryogenesis
99329,"48,XYYY syndrome",Rare developmental defect during embryogenesis
96264,"49,XXXXY syndrome",Rare developmental defect during embryogenesis
261534,"49,XXXYY syndrome",Rare developmental defect during embryogenesis
99330,"49,XYYYY syndrome",Rare developmental defect during embryogenesis
289494,4H leukodystrophy,Rare neurologic disease
96072,4p16.3 microduplication syndrome,Rare developmental defect during embryogenesis
238750,4q21 microdeletion syndrome,Rare developmental defect during embryogenesis
502437,4q25 proximal deletion syndrome,Rare developmental defect during embryogenesis
217064,5-fluorouracil poisoning,Rare disorder due to toxic effects
33572,5-oxoprolinase deficiency,Rare inborn errors of metabolism
329802,5p13 microduplication syndrome,Rare developmental defect during embryogenesis
228384,5q14.3 microdeletion syndrome,Rare developmental defect during embryogenesis
228415,5q35 microduplication syndrome,Rare developmental defect during embryogenesis
251046,6p22 microdeletion syndrome,Rare developmental defect during embryogenesis
99135,6-phosphogluconate dehydrogenase deficiency,Rare hematologic disease
13,6-pyruvoyl-tetrahydropterin synthase deficiency,Rare inborn errors of metabolism
75857,6q terminal deletion syndrome,Rare developmental defect during embryogenesis
171829,6q16 microdeletion syndrome,Rare developmental defect during embryogenesis
251056,6q25 microdeletion syndrome,Rare developmental defect during embryogenesis
314034,7p22.1 microduplication syndrome,Rare developmental defect during embryogenesis
96121,7q11.23 microduplication syndrome,Rare developmental defect during embryogenesis
