Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
37109922	723871004	Acute occlusion of aortoiliac artery due to thrombosis	Disorder	Standard	07/30/2017	12/30/2099	40	40	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37109923	723872006	Acute occlusion of artery of lower limb due to thrombosis	Disorder	Standard	07/30/2017	12/30/2099	60	60	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163078	1204216009	Acute occlusion of axillary artery due to thrombosis	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163074	1204212006	Acute occlusion of brachial artery due to thrombosis	Disorder	Standard	02/27/2022	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37168346	1279832006	Acute occlusion of peripheral artery due to thrombosis	Disorder	Standard	04/29/2023	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37163063	1204198001	Acute occlusion of superficial femoral artery due to thrombosis	Disorder	Standard	03/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163052	1204186006	Acute thrombotic common femoral artery occlusion	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163050	1204184009	Acute thrombotic crural artery occlusion	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163048	1204182008	Acute thrombotic iliac artery occlusion	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163047	1204181001	Acute thrombotic popliteal artery occlusion	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163046	1204180000	Acute thrombotic renal artery occlusion	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
37163044	1204178006	Acute thrombotic subclavian artery occlusion	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute occlusion of peripheral artery due to thrombosis'"">1"
36715046	720512007	Arterial dissection and lentiginosis syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
43020870	458432002	Arterial tortuosity syndrome	Disorder	Standard	01/30/2013	12/30/2099	3,060	3,060	1,110	1,110	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36715051	720519003	Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4146840	35386004	Cavernous sinus syndrome	Disorder	Standard	01/30/2002	12/30/2099	1,920	1,920	1,210	1,210	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral venous sinus thrombosis'"">1"
607826	1156027008	Cerebral venous sinus thrombosis in pregnancy	Disorder	Standard	07/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral venous sinus thrombosis'"">1"
607828	1156029006	Cerebral venous sinus thrombosis in puerperium	Disorder	Standard	07/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral venous sinus thrombosis'"">1"
4048786	230721009	Cerebral venous thrombosis of sigmoid sinus	Disorder	Standard	01/30/2002	12/30/2099	200	200	50	50	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral venous sinus thrombosis'"">1"
4043735	230720005	Cerebral venous thrombosis of straight sinus	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cerebral venous sinus thrombosis'"">1"
37398919	715364001	Familial abdominal aortic aneurysm	Disorder	Standard	07/30/2016	12/30/2099	40	40	30	30	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
