Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
4166500	295125005	Accidental acetaminophen overdose	Disorder	Standard	01/30/2002	12/30/2099	60	60	40	40	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning caused by acetaminophen'"">1"
4159373	290134002	Accidental acetaminophen poisoning	Disorder	Standard	01/30/2002	12/30/2099	320	380	280	320	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning caused by acetaminophen'"">1"
4171957	296486006	Accidental colchicine overdose	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning by colchicine'"">1"
4159915	291385005	Accidental colchicine poisoning	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning by colchicine'"">1"
4095362	291992008	Accidental digoxin poisoning	Disorder	Standard	01/30/2002	12/30/2099	10	20	0	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning by Digitalis glycoside'"">1"
4176850	295724001	Accidental fluorouracil overdose	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning by fluorouracil'"">1"
4156621	290699005	Accidental fluorouracil poisoning	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Poisoning by fluorouracil'"">1"
4176844	295698000	Accidental mercuric oxide overdose	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Toxic effect of mercury and/or mercury compound'"">1"
4158855	290677002	Accidental mercuric oxide poisoning	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Toxic effect of mercury and/or mercury compound'"">1"
4179881	297039006	Accidental mersalyl overdose	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Toxic effect of mercury and/or mercury compound'"">1"
4168424	295702001	Accidental methotrexate overdose	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Methotrexate poisoning'"">1"
4161089	290681002	Accidental methotrexate poisoning	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Methotrexate poisoning'"">1"
