Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
604591	1003380001	6q16 microdeletion syndrome	Disorder	Standard	01/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital hypogonadotropic hypogonadism'"">1"
36717057	718715007	Acanthosis nigricans and insulin resistance with muscle cramp and acral enlargement syndrome	Disorder	Standard	01/30/2017	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4336665	86907008	Acquired generalized lipodystrophy	Disorder	Standard	01/30/2002	12/30/2099	160	160	60	60	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4192633	75659004	Acquired partial lipodystrophy	Disorder	Standard	01/30/2002	12/30/2099	70	70	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35624320	766986002	Acute adrenal insufficiency	Disorder	Standard	07/30/2018	12/30/2099	128,230	128,230	29,300	29,300	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4298436	76715008	Addison's disease due to autoimmunity	Disorder	Standard	01/30/2002	12/30/2099	390	390	80	80	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Addison\'s disease'"">1"
4029576	237760008	Addison's disease with adrenoleucodystrophy	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Addison\'s disease'"">1"
37204540	783243008	Adenohypophysitis	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35622004	763311001	Adrenomyodystrophy	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37397030	717044000	Adult onset non-insulinoma persistent hyperinsulinemic hypoglycemia	Disorder	Standard	07/30/2016	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37162901	1197746001	AKT2-related familial partial lipodystrophy	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36674944	770941005	Alopecia, progressive neurological defect, endocrinopathy syndrome	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital hypogonadotropic hypogonadism'"">1"
46271047	709075008	Aromatase excess syndrome	Disorder	Standard	07/30/2015	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
