Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
40437458	235724004	Acquired short bowel syndrome	Disorder	Standard	01/30/2018	12/30/2099	360	360	110	110	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37171353	344015141000119100	Acute ischemia of colon due to thrombosis of mesenteric vein	Disorder	Standard	06/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Thrombosis of mesenteric vein'"">1"
37170675	289566561000119108	Acute ischemia of small intestine due to thrombosis of mesenteric vein	Disorder	Standard	06/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Thrombosis of mesenteric vein'"">1"
4340262	235761008	Acute radiation proctitis	Disorder	Standard	01/30/2002	12/30/2099	20	20	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Radiation proctitis'"">1"
45757410	133421000119101	Acute thrombosis of mesenteric vein	Disorder	Standard	07/30/2014	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Thrombosis of mesenteric vein'"">1"
36712892	143561000119108	Acute thrombosis of splenic vein	Disorder	Standard	01/30/2017	12/30/2099	10	10	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Splenic vein thrombosis'"">1"
4307552	422470007	Adenolymphoma	Disorder	Standard	01/30/2007	12/30/2099	2,050	2,050	530	530	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Benign epithelial tumor of salivary gland'"">1"
4231315	360434004	Aganglionosis of Auerbach's plexus	Disorder	Standard	01/30/2002	12/30/2099	10	10	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital aganglionic megacolon'"">1"
4055116	197150008	Anal fissure and fistula	Disorder	Standard	01/30/2002	12/30/2099	5,260	5,260	2,980	2,980	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anal fistula'"">1"
193807	72779005	Anorectal fistula	Disorder	Standard	01/30/2002	12/30/2099	191,260	200,100	70,370	72,620	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anal fistula'"">1"
