Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
4217370	71988008	Aase syndrome	Disorder	Standard	01/30/2002	12/30/2099	260	260	150	150	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4101597	191298004	Acquired factor II deficiency	Disorder	Standard	01/30/2002	12/30/2099	110	110	60	60	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4141269	33820001	Acquired factor X deficiency disease	Disorder	Standard	01/30/2002	12/30/2099	20	20	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Factor X deficiency'"">1"
4139556	307343001	Acquired hemoglobin H disease	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4319149	95843009	Acquired hypoplasminogenemia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Hypoplasminogenemia'"">1"
4170982	295315008	Acquired methemoglobinemia	Disorder	Standard	01/30/2002	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37163601	1217409009	Acquired protein S deficiency	Disorder	Standard	04/29/2022	12/30/2099	40	40	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37117819	725157006	Acquired purpura fulminans	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4204900	439007008	Acquired thrombotic thrombocytopenic purpura	Disorder	Standard	01/30/2009	12/30/2099	50	50	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4125641	234451005	Acquired von Willebrand disease	Disorder	Standard	01/30/2002	12/30/2099	1,750	1,770	480	500	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40485018	444108000	Acute sickle cell splenic sequestration crisis	Disorder	Standard	01/30/2010	12/30/2099	29,890	29,890	6,420	6,420	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Sickle cell-hemoglobin SS disease'"">1"
603018	1153415008	Acute splenic sequestration due to sickle cell hemoglobin C disease with crisis	Disorder	Standard	07/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Sickle cell-hemoglobin SS disease'"">1"
607430	1153413001	Acute splenic sequestration of spleen due to sickle cell thalassemia with crisis	Disorder	Standard	07/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Sickle cell-hemoglobin SS disease'"">1"
36715009	720465002	Adult-onset autosomal recessive sideroblastic anemia	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35623407	765748009	Adult pure red cell aplasia	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4242755	5967006	A-gamma beta+ HPFH AND beta0 thalassemia in cis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Hereditary persistence of fetal hemoglobin thalassemiaBeta thalassemia'"">2"
4232474	89810003	Agamma delta beta0 thalassemia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Delta beta thalassemiaBeta thalassemia'"">2"
4271753	36467003	Alpha plus thalassemia	Disorder	Standard	01/30/2002	12/30/2099	50	60	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
4311397	86242003	Alpha plus thalassemia deletion type	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
4311538	85422000	Alpha plus thalassemia non deletion type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
4287844	68913001	Alpha thalassemia	Disorder	Standard	01/30/2002	12/30/2099	248,360	251,790	71,190	73,170	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4121113	234385007	Alpha thalassemia-2 trait	Disorder	Standard	01/30/2002	12/30/2099	170	170	70	70	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
42539413	734349003	Alpha-thalassemia intellectual disability syndrome linked to chromosome 16	Disorder	Standard	01/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
37399441	715342005	Alpha thalassemia X-linked intellectual disability syndrome	Disorder	Standard	07/30/2016	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
4098749	191187006	Alpha trait thalassemia	Disorder	Standard	01/30/2002	12/30/2099	2,700	2,700	1,720	1,720	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
4278816	66055002	Alpha zero thalassemia	Disorder	Standard	01/30/2002	12/30/2099	50	50	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alpha thalassemia'"">1"
36715351	720982007	Alport syndrome, intellectual disability, midface hypoplasia, elliptocytosis syndrome	Disorder	Standard	01/30/2017	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Hereditary elliptocytosis'"">1"
4131930	127213008	Angiofollicular lymph node hyperplasia, hyaline-vascular type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Castleman disease'"">1"
4131295	127214002	Angiofollicular lymph node hyperplasia, plasma cell type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Castleman disease'"">1"
