Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
37203816	782918002	2-aminoadipic 2-oxoadipic aciduria	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
42538941	791000124107	2-methyl-3-hydroxybutyric aciduria	Disorder	Standard	07/31/2011	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36714431	719652007	2p21 microdeletion syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37110829	725286002	3-hydroxy-3-methylglutaryl-coenzyme A synthase deficiency	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4029730	237957007	3-Hydroxyisobutyric aciduria	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4145715	307130006	3-Ketoacyl-CoA triolase deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mitochondrial trifunctional protein deficiency'"">1"
4035270	237951008	3-Methylglutaconic aciduria type 1	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4175583	297231002	3-Methylglutaconic aciduria type 2	Disorder	Standard	01/30/2002	12/30/2099	55,600	55,600	4,060	4,060	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4178535	297232009	3-Methylglutaconic aciduria type 3	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4180031	297233004	3-Methylglutaconic aciduria type 4	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
46272954	711412004	3-methylglutaconic aciduria type 5	Disorder	Standard	07/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35622701	764860006	3-methylglutaconic aciduria type 7	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
46272952	711409002	3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome	Disorder	Standard	07/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4216432	41797007	5,10-Methylenetetrahydrofolate reductase deficiency	Disorder	Standard	01/30/2002	12/30/2099	735,960	735,960	255,670	255,670	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4035263	237914002	6-Pyruvoyl-tetrahydrobiopterin synthase deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder of tetrahydrobiopterin metabolism'"">1"
4147488	267454002	Acatalasemia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4212254	57863006	Acid phosphatase deficiency	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
607765	1155910005	Acquired porphyria cutanea tarda	Disorder	Standard	07/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Porphyria cutanea tarda'"">1"
4120604	234422006	Acute intermittent porphyria	Disorder	Standard	01/30/2002	12/30/2099	78,310	78,310	6,280	6,280	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4047345	12246008	Acute neuronopathic Gaucher's disease	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37117813	725046003	Acyl-CoA dehydrogenase 9 deficiency	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4079884	238069004	Acyl-CoA oxidase deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4290404	69614003	Adenosylcobalamin synthesis defect	Disorder	Standard	01/30/2002	12/30/2099	910	970	320	330	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45757735	366951000119109	Adolescent X-linked adrenoleukodystrophy	Disorder	Standard	01/30/2015	12/30/2099	2,420	2,420	360	360	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Adrenoleukodystrophy'"">1"
4276356	65389002	Adrenoleukodystrophy	Disorder	Standard	01/30/2002	12/30/2099	721,370	734,330	552,660	553,590	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37168044	1269423000	Adrenomyeloneuropathy	Disorder	Standard	04/29/2023	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Adrenoleukodystrophy'"">1"
44809321	852781000000103	Adult cystinosis	Disorder	Standard	09/30/2012	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cystinosis'"">1"
4163879	399249008	Adult fucosidosis	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Fucosidosis'"">1"
