Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
37164810	1234830005	14q32 duplication syndrome	Disorder	Standard	07/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4266333	400153009	Abdominal fibromatosis	Disorder	Standard	07/30/2003	12/30/2099	420	420	120	120	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Aggressive fibromatosis'"">1"
4187635	413389003	Accelerated phase chronic myeloid leukemia	Disorder	Standard	01/30/2005	12/30/2099	280	280	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Chronic myeloid leukemia'"">1"
762156	2961000119106	Acoustic neuroma of bilateral vestibular nerves	Disorder	Standard	02/29/2016	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acoustic neuromaSchwannoma'"">2"
37209556	16594881000119101	Acoustic neuroma of left vestibular nerve	Disorder	Standard	07/30/2019	12/30/2099	640	640	200	200	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acoustic neuromaSchwannoma'"">2"
37209555	16594841000119106	Acoustic neuroma of right vestibular nerve	Disorder	Standard	07/30/2019	12/30/2099	620	620	210	210	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acoustic neuromaSchwannoma'"">2"
35622697	764856008	Acquired cystic disease associated renal cell carcinoma	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4079686	277602003	Acute megakaryoblastic leukemia	Disorder	Standard	01/30/2002	12/30/2099	29,090	31,380	2,240	2,510	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35623630	766045006	Acute myeloid leukemia and myelodysplastic syndrome related to alkylating agent	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35623633	766048008	Acute myeloid leukemia and myelodysplastic syndrome related to radiation	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35623631	766046007	Acute myeloid leukemia and myelodysplastic syndrome related to topoisomerase type 2 inhibitor	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4233531	359631009	Acute myeloid leukemia, minimal differentiation, FAB M0	Disorder	Standard	01/30/2002	12/30/2099	60	60	40	40	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
