Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
36714377	719574007	14q12 microdeletion syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36676584	773494008	14q24.1q24.3 microdeletion syndrome	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
619026	880093002	17q11 deletion syndrome	Disorder	Standard	01/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Neurofibromatosis type 1'"">1"
37164188	1229883008	19p13.3 microduplication syndrome	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital microcephaly'"">1"
37163916	1222671009	3-methylglutaconic aciduria type 8	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37163917	1222672002	3-methylglutaconic aciduria type 9	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
619078	890123006	3p25.3 deletion syndrome	Disorder	Standard	01/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4123308	303098002	3-Phosphoglycerate dehydrogenase deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37116748	733637001	3-phosphoglycerate dehydrogenase deficiency infantile form	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital microcephaly3-Phosphoglycerate dehydrogenase deficiency'"">2"
37116747	733636005	3-phosphoglycerate dehydrogenase deficiency juvenile form	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: '3-Phosphoglycerate dehydrogenase deficiency'"">1"
37169831	1208933000	4H leukodystrophy	Disorder	Standard	03/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37110832	725289009	5-amino-4-imidazole carboxamide ribosiduria	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35625535	768555009	5q31.3 microdeletion syndrome	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37164180	1229875002	9q21.13 microdeletion syndrome	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36676583	773493002	9q31.1q31.3 microdeletion syndrome	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4044411	230648001	Abdominal cutaneous nerve entrapment syndrome	Disorder	Standard	01/30/2002	12/30/2099	300	300	150	150	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4048780	230679002	Abnormality of synaptic vesicles	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myasthenia gravis'"">1"
37204495	783161005	ABri amyloidosis	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37398942	715793003	Acetazolamide responsive myotonia	Disorder	Standard	07/30/2016	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4043729	230671004	Acetylcholine resynthesis deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Myasthenia gravisCongenital myasthenic syndrome'"">2"
36717050	718573009	Achalasia microcephaly syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital microcephaly'"">1"
4046219	230438007	Acquired epileptic aphasia	Disorder	Standard	01/30/2002	12/30/2099	1,130	1,140	380	380	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
765610	435321000124106	Acquired epileptic aphasia, non-refractory	Disorder	Standard	08/31/2013	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acquired epileptic aphasia'"">1"
763039	435331000124109	Acquired epileptic aphasia, refractory	Disorder	Standard	08/31/2013	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acquired epileptic aphasia'"">1"
45765416	702349003	Actin accumulation myopathy	Disorder	Standard	07/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35607997	764453009	Action myoclonus renal failure syndrome	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
439705	191692007	Active disintegrative psychoses	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Childhood disintegrative disorder'"">1"
37162908	1197757006	Acute bilirubin encephalopathy	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
374021	83942000	Acute disseminated encephalomyelitis	Disorder	Standard	01/30/2002	12/30/2099	130,940	235,670	13,530	39,810	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
43530701	182961000119101	Acute disseminated encephalomyelitis following infectious disease	Disorder	Standard	07/30/2013	12/30/2099	37,040	37,040	4,810	4,810	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute disseminated encephalomyelitis'"">1"
35623629	766044005	Acute encephalopathy with biphasic seizures and late reduced diffusion	Disorder	Standard	07/30/2018	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4249574	72986009	Acute hemorrhagic leukoencephalitis	Disorder	Standard	01/30/2002	12/30/2099	67,680	67,680	21,460	21,460	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute disseminated encephalomyelitis'"">1"
37162423	1187643003	Acute infantile liver failure, cerebellar ataxia, peripheral sensory motor neuropathy syndrome	Disorder	Standard	01/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4269209	63081009	Acute infarction of spinal cord	Disorder	Standard	01/30/2002	12/30/2099	193,740	193,740	15,460	15,460	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Spinal cord injury'"">1"
37396786	716723000	Acute inflammatory demyelinating polyradiculoneuropathy	Disorder	Standard	07/30/2016	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37396086	715770009	Acute motor axonal neuropathy	Disorder	Standard	07/30/2016	12/30/2099	60	60	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37396785	716722005	Acute motor sensory axonal neuropathy	Disorder	Standard	07/30/2016	12/30/2099	70	70	40	40	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4286030	68577004	Acute necrotizing myelitis	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Spinal cord injury'"">1"
4044077	230378004	Acute non-infective transverse myelitis	Disorder	Standard	01/30/2002	12/30/2099	6,070	6,070	550	550	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute transverse myelitis'"">1"
4331091	430042004	Acute pandysautonomia	Disorder	Standard	07/30/2008	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37204541	783244002	Acute pure sensory neuropathy	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
35623634	766049000	Acute sensory ataxic neuropathy	Disorder	Standard	07/30/2018	12/30/2099	50	50	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
139803	47000000	Acute transverse myelitis	Disorder	Standard	01/30/2002	12/30/2099	1,057,300	1,063,370	76,150	76,700	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36716802	722985001	Acute venous infarction of spinal cord	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Spinal cord injury'"">1"
37204554	783258000	ADan amyloidosis	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4034867	15285008	Adenylosuccinate lyase deficiency	Disorder	Standard	01/30/2002	12/30/2099	50	50	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
