Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
44783311	699382004	Agenesis of enamel	Disorder	Standard	01/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta'"">1"
45769042	707607008	Amelogenesis imperfecta and gingival hyperplasia syndrome	Disorder	Standard	01/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta'"">1"
45771029	707608003	Amelogenesis imperfecta co-occurrent with cone rod dystrophy	Disorder	Standard	01/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta'"">1"
4031276	109471001	Amelogenesis imperfecta, hypocalcification type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4033010	109472008	Amelogenesis imperfecta, hypomaturation hypoplasia type with taurodontism	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4126777	234965004	Amelogenesis imperfecta - hypomaturation - recessive pigmented	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypomaturation typeAmelogenesis imperfecta'"">2"
4126778	234966003	Amelogenesis imperfecta - hypomaturation - snow capped teeth	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypomaturation typeAmelogenesis imperfecta'"">2"
4031277	109475005	Amelogenesis imperfecta, hypomaturation type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4126774	234961008	Amelogenesis imperfecta - hypoplastic autosomal dominant - local	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypoplastic typeAmelogenesis imperfecta'"">2"
4126775	234963006	Amelogenesis imperfecta - hypoplastic autosomal dominant - rough	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypoplastic typeAmelogenesis imperfecta'"">2"
4122609	234962001	Amelogenesis imperfecta - hypoplastic autosomal dominant - smooth	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypoplastic typeAmelogenesis imperfecta'"">2"
4033910	109476006	Amelogenesis imperfecta, hypoplastic type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4033461	109473003	Amelogenesis imperfecta, hypoplastic type with microdontia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypoplastic typeAmelogenesis imperfecta'"">2"
4033462	109474009	Amelogenesis imperfecta, pigmented hypomaturation type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypomaturation typeAmelogenesis imperfecta'"">2"
4126776	234964000	Amelogenesis imperfecta - recessive - rough	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Amelogenesis imperfecta, hypoplastic typeAmelogenesis imperfecta'"">2"
433229	14901003	Ankylosis of tooth	Disorder	Standard	01/30/2002	12/30/2099	11,690	11,690	7,970	7,970	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4031270	109444001	Anodontia of permanent dentition	Disorder	Standard	01/30/2002	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anodontia'"">1"
