Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
37396330	716099003	Absence deformity of leg and congenital cataract syndrome	Disorder	Standard	07/30/2016	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital cataract'"">1"
46273617	711644007	Acanthamoeba endophthalmitis	Disorder	Standard	07/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endophthalmitis'"">1"
37204729	783612007	Acute annular outer retinopathy	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37163324	1208910001	Acute bacterial endophthalmitis following surgical procedure	Disorder	Standard	03/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute endophthalmitisEndophthalmitis'"">2"
36715005	720460007	Acute bilateral depigmentation of iris	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4196110	312947009	Acute central serous chorioretinopathy	Disorder	Standard	01/30/2002	12/30/2099	10	40	10	30	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Central serous chorioretinopathy'"">1"
4195495	314006008	Acute central serous retinopathy with subretinal fluid	Disorder	Standard	01/30/2002	12/30/2099	30	30	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Central serous chorioretinopathy'"">1"
433765	1493002	Acute endophthalmitis	Disorder	Standard	01/30/2002	12/30/2099	140,000	140,130	40,270	40,300	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37208019	348831000119103	Acute endophthalmitis of left eye	Disorder	Standard	07/30/2019	12/30/2099	60	60	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute endophthalmitisEndophthalmitis'"">2"
37208014	348381000119107	Acute endophthalmitis of right eye	Disorder	Standard	07/30/2019	12/30/2099	70	70	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute endophthalmitisEndophthalmitis'"">2"
37163314	1208900005	Acute idiopathic enlarged blind spot syndrome	Disorder	Standard	03/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Idiopathic posterior uveitis'"">1"
37164808	1234824005	Acute macular neuroretinopathy	Disorder	Standard	07/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4152406	314545009	Acute postoperative endophthalmitis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute endophthalmitisEndophthalmitis'"">2"
4197570	51604006	Acute retrobulbar neuritis	Disorder	Standard	01/30/2002	12/30/2099	48,020	48,020	25,400	25,400	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Optic neuritis'"">1"
4210131	312929003	Acute zonal occult outer retinopathy	Disorder	Standard	01/30/2002	12/30/2099	600	600	80	80	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36714497	719755001	Adult gonococcal conjunctivitis	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Gonococcal conjunctivitis'"">1"
