Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
37162388	1187563003	Autosomal recessive Charcot-Marie-Tooth disease type 2X	Disorder	Standard	01/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
604181	753248161000119109	Bilateral superior semicircular canal dehiscence syndrome	Disorder	Standard	01/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Semicircular canal dehiscence syndrome'"">1"
36717721	719468005	Cleft palate with stapes fixation and oligodontia syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital anomaly of ossicles of ear'"">1"
4242060	92894005	Congenital abnormal shape of auditory ossicles	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital anomaly of ossicles of ear'"">1"
4326736	75311005	Congenital absence of ossicles of ear	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital anomaly of ossicles of ear'"">1"
619705	897530009	Congenital ankylosis of incudomallear articulation	Disorder	Standard	01/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital anomaly of ossicles of ear'"">1"
440199	75922002	Congenital anomaly of ossicles of ear	Disorder	Standard	01/30/2002	12/30/2099	7,570	7,610	3,730	3,740	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4043565	230502003	Congenital anosmia	Disorder	Standard	01/30/2002	12/30/2099	100	100	60	60	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37164819	1234911006	Congenital cochleovestibular malformation	Disorder	Standard	07/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36716746	722917001	Congenital cyst of aryepiglottic fold	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital laryngeal cyst'"">1"
45765425	702360007	Congenital deafness with labyrinthine aplasia, microtia and microdontia	Disorder	Standard	07/30/2014	12/30/2099	20	20	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37162068	1186656004	Congenital deficiency of cochlear nerve	Disorder	Standard	11/29/2021	12/30/2099	10	10	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4184424	54386000	Congenital fusion of ossicles of ear	Disorder	Standard	01/30/2002	12/30/2099	30	30	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Congenital anomaly of ossicles of ear'"">1"
