Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
4126433	236467001	Acquired Fanconi syndrome	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Proximal renal tubular acidosis'"">1"
37110066	724099000	Acquired monoclonal immunoglobulin light chain-associated Fanconi syndrome	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4216968	81475007	Acquired nephrogenic diabetes insipidus	Disorder	Standard	01/30/2002	12/30/2099	60	100	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Nephrogenic diabetes insipidus'"">1"
4126124	236538004	Acute disorder of hemodialysis	Disorder	Standard	01/30/2002	12/30/2099	0	10	0	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Complication of hemodialysis'"">1"
37016359	368871000119106	Acute nephritic syndrome co-occurrent and due to membranoproliferative glomerulonephritis type III	Disorder	Standard	01/30/2016	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mesangiocapillary glomerulonephritis'"">1"
4031806	238009001	Adenine phosphoribosyl transferase deficiency type I	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Deficiency of AMP pyrophorylase'"">1"
4029749	238010006	Adenine phosphoribosyl transferase deficiency type II	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Deficiency of AMP pyrophorylase'"">1"
40480691	444749006	Adolescent nephronophthisis	Disorder	Standard	07/30/2010	12/30/2099	20	20	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Nephronophthisis'"">1"
37116750	733650000	Adult familial nephronophthisis with spastic quadriparesia syndrome	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4128211	236468006	Adult Fanconi syndrome	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Proximal renal tubular acidosis'"">1"
4109637	253878003	Adult type polycystic kidney disease type 1	Disorder	Standard	01/30/2002	12/30/2099	780	780	290	290	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Autosomal dominant polycystic kidney disease'"">1"
4109809	253879006	Adult type polycystic kidney disease type 2	Disorder	Standard	01/30/2002	12/30/2099	480	480	140	140	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Autosomal dominant polycystic kidney disease'"">1"
36674698	770414008	Alport syndrome	Disorder	Standard	01/30/2019	12/30/2099	125,630	125,860	14,290	14,350	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36713440	717766000	Alport syndrome autosomal dominant	Disorder	Standard	01/30/2017	12/30/2099	50	50	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36713441	717767009	Alport syndrome autosomal recessive	Disorder	Standard	01/30/2017	12/30/2099	20	20	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36713442	717768004	Alport syndrome X-linked	Disorder	Standard	01/30/2017	12/30/2099	160	160	50	50	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37162252	1187124004	Apolipoprotein A-IV amyloidosis	Disorder	Standard	11/29/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4277905	65791008	APRT deficiency, Japanese type	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Deficiency of AMP pyrophorylase'"">1"
37312165	789660001	Atypical hemolytic uremic syndrome	Disorder	Standard	01/30/2020	12/30/2099	430	430	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36674517	778025006	Atypical hypotonia cystinuria syndrome	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cystinuria'"">1"
35623051	765330003	Autosomal dominant polycystic kidney disease	Disorder	Standard	07/30/2018	12/30/2099	1,092,150	1,093,900	149,250	149,790	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4109022	253880009	Autosomal dominant polycystic kidney disease in childhood	Disorder	Standard	01/30/2002	12/30/2099	480	480	110	110	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Autosomal dominant polycystic kidney disease'"">1"
35623052	765331004	Autosomal dominant polycystic kidney disease type 1 with tuberous sclerosis	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Autosomal dominant polycystic kidney disease'"">1"
37110873	725393000	Autosomal dominant primary hypomagnesemia with hypocalciuria	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45766198	703310005	Autosomal dominant progressive nephropathy with hypertension	Disorder	Standard	07/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37111318	726018006	Autosomal dominant tubulointerstitial kidney disease	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45769152	707742001	Bartter syndrome	Disorder	Standard	01/30/2015	12/30/2099	117,220	117,270	8,590	8,610	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45763661	700107006	Bartter syndrome antenatal type 1	Disorder	Standard	07/30/2014	12/30/2099	20	20	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Bartter syndrome'"">1"
45763663	700109009	Bartter syndrome antenatal type 2	Disorder	Standard	07/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Bartter syndrome'"">1"
45763665	700111000	Bartter syndrome type 3	Disorder	Standard	07/30/2014	12/30/2099	30	30	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Bartter syndrome'"">1"
