Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
37312199	789574002	Acute exacerbation of idiopathic pulmonary fibrosis	Disorder	Standard	01/30/2020	12/30/2099	90	90	50	50	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute interstitial pneumoniaIdiopathic pulmonary fibrosis'"">2"
4341520	236302005	Acute interstitial pneumonia	Disorder	Standard	01/30/2002	12/30/2099	120,860	120,950	40,000	40,050	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4199961	315345002	Acute lung injury	Disorder	Standard	01/30/2002	12/30/2099	750	3,107,040	90	712,030	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37116369	733054008	Acute lung injury during and following administration of blood product	Disorder	Standard	07/30/2017	12/30/2099	24,280	24,280	7,690	7,690	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute lung injury'"">1"
4243668	59903001	Acute obliterating bronchiolitis	Disorder	Standard	01/30/2002	12/30/2099	40	40	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Obliterative bronchiolitis'"">1"
45770911	184431000119108	Acute pneumonia due to coccidioidomycosis	Disorder	Standard	07/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Fungal infection of lung'"">1"
4082065	240741002	Acute pulmonary African histoplasmosis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Fungal infection of lung'"">1"
4093475	187069002	Acute pulmonary blastomycosis	Disorder	Standard	01/30/2002	12/30/2099	8,220	8,220	2,840	2,840	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Fungal infection of lung'"">1"
4087776	187027001	Acute pulmonary coccidioidomycosis	Disorder	Standard	01/30/2002	12/30/2099	105,390	105,390	32,430	32,430	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Fungal infection of lung'"">1"
4241693	58524006	Acute pulmonary histoplasmosis	Disorder	Standard	01/30/2002	12/30/2099	18,350	18,350	8,750	8,750	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Fungal infection of lung'"">1"
4110644	196046009	Acute pulmonary radiation disease	Disorder	Standard	01/30/2002	12/30/2099	74,370	74,370	22,910	22,910	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute lung injury'"">1"
260434	196047000	Acute radiation pneumonitis	Disorder	Standard	01/30/2002	12/30/2099	156,580	230,950	35,950	58,860	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute lung injury'"">1"
