Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
36714391	719595002	Absence of fingerprints with congenital milia syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4100661	2772003	Acquired epidermolysis bullosa	Disorder	Standard	01/30/2002	12/30/2099	16,580	16,590	4,240	4,240	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
40397299	201160005	Acquired hypertrichosis lanuginosa	Disorder	Standard	07/30/2019	12/30/2099	2,120	2,120	1,480	1,480	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4313149	8691004	Acquired ichthyosis	Disorder	Standard	01/30/2002	12/30/2099	99,770	99,820	57,070	57,100	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37165494	1254908004	Acquired paraneoplastic ichthyosis	Disorder	Standard	10/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acquired ichthyosis'"">1"
4301026	403404004	Acquired perforating pseudoxanthoma elasticum	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pseudoxanthoma elasticumAcquired pseudoxanthoma elasticum'"">2"
37165452	1254861008	Acquired perforating pseudoxanthoma elasticum of periumbilical region	Disorder	Standard	11/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pseudoxanthoma elasticumAcquired pseudoxanthoma elasticum'"">2"
4296766	77039003	Acquired progressive kinking of hair	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4296371	403401007	Acquired pseudoxanthoma elasticum	Disorder	Standard	07/30/2003	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4297928	403786001	Acral Darier's disease	Disorder	Standard	07/30/2003	12/30/2099	20	20	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Darier disease'"">1"
37116749	733638006	Acral dystrophic epidermolysis bullosa	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
46271316	709416009	Acral peeling skin syndrome	Disorder	Standard	07/30/2015	12/30/2099	30	30	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4033042	238949006	Acral persistent papular mucinosis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4294422	402842008	Acral pseudolymphomatous angiokeratoma of children (APACHE)	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Cutaneous pseudolymphoma'"">1"
36713696	718633009	Acral self-healing collodion baby	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4222163	83839005	Acrodermatitis continua of Hallopeau	Disorder	Standard	01/30/2002	12/30/2099	12,010	12,010	5,650	5,650	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4034570	239069005	Acroerythrokeratoderma	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4033480	238872007	Acrogeria	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4007950	111029001	Acrokerato-elastoidosis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4081064	238640007	Acrokeratosis paraneoplastica of Bazex	Disorder	Standard	01/30/2002	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4266656	400018004	Acrokeratosis verruciformis of Darier disease	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Darier disease'"">1"
4271009	400085009	Acrokeratosis verruciformis of Hopf	Disorder	Standard	07/30/2003	12/30/2099	80	80	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4034648	239089006	Acromelanosis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36679003	776417008	Acroosteolysis, keloid-like lesions, premature aging syndrome	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4033202	239098009	Acropustulosis of infancy	Disorder	Standard	01/30/2002	12/30/2099	100	100	60	60	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pustular psoriasis of palms and soles'"">1"
4064057	200999007	Actinic lichen planus	Disorder	Standard	01/30/2002	12/30/2099	20	20	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
141374	201015007	Actinic prurigo	Disorder	Standard	07/30/2003	12/30/2099	30	30	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
439096	52636001	Actinic reticuloid	Disorder	Standard	01/30/2002	12/30/2099	11,190	11,190	8,830	8,830	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4225434	84625002	Acute febrile neutrophilic dermatosis	Disorder	Standard	01/30/2002	12/30/2099	80,950	81,100	15,720	15,770	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
37165184	1251367000	Acute febrile neutrophilic dermatosis due to neoplastic disease	Disorder	Standard	10/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute febrile neutrophilic dermatosis'"">1"
37165473	1254886004	Acute febrile neutrophilic dermatosis of hand	Disorder	Standard	11/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute febrile neutrophilic dermatosis'"">1"
45773387	702617007	Acute generalized exanthematous pustulosis	Disorder	Standard	07/30/2014	12/30/2099	730	730	120	120	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4297497	402326008	Acute generalized pustular psoriasis de novo	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Generalized pustular psoriasis'"">1"
4147430	34748004	Adams-Oliver syndrome	Disorder	Standard	01/30/2002	12/30/2099	40	40	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Aplasia cutis congenita'"">1"
4081252	238942002	Adult linear immunoglobulin A disease	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Linear IgA dermatosis'"">1"
37165472	1254885000	Adult pityriasis rubra pilaris	Disorder	Standard	11/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pityriasis rubra pilaris'"">1"
4296486	403411000	Aggressive systemic infantile myofibromatosis	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infantile myofibromatosis'"">1"
4106575	29756008	Alcoholic pellagra	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pellagra'"">1"
45765792	702810006	Allopurinol hypersensitivity syndrome	Disorder	Standard	07/30/2014	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Drug reaction with eosinophilia and systemic symptoms'"">1"
37203833	783205005	Alopecia antibody deficiency	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36715349	720980004	Alopecia, psychomotor epilepsy, periodontal pyorrhea, intellectual disability syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Alopecia universalis'"">1"
35622693	764849002	Amyloidosis cutis dyschromia	Disorder	Standard	07/30/2018	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4174223	49465005	Angioma serpiginosum	Disorder	Standard	01/30/2002	12/30/2099	210	210	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36676904	774210006	Angora hair nevus	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36715029	720493003	Annular atrophic lichen planus	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
36713694	718631006	Annular epidermolytic ichthyosis	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4067062	201000006	Annular lichen planus	Disorder	Standard	01/30/2002	12/30/2099	60	70	40	40	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45768750	707247006	Annular oral lichen planus	Disorder	Standard	01/30/2015	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Annular lichen planus'"">1"
4033517	239013001	Anonychia with bizarre flexural pigmentation	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	
36715030	720494009	Anonychia with microcephaly syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	
37205073	784351000	Antecubital pterygium syndrome	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	
37164070	1228843008	Anti-p200 pemphigoid	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	
4299833	403549004	Aplasia cutis congenita associated with fetus papyraceus (Type 5)	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
4299834	403551000	Aplasia cutis congenita due to teratogenic drug (Type 7)	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
4295313	403548007	Aplasia cutis congenita due to underlying malformation (Type 4)	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
4299962	403552007	Aplasia cutis congenita following intra-uterine infection (Type 8)	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
4295314	403550004	Aplasia cutis congenita in association with epidermolysis bullosa (Type 6)	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
3654669	838362006	Aplasia cutis congenita of limb	Disorder	Standard	07/30/2020	12/30/2099	0	0	0	0	Condition	SNOMED	
4301150	403553002	Aplasia cutis congenita secondary to malformation syndrome (Type 9)	Disorder	Standard	07/30/2003	12/30/2099	0	10	0	0	Condition	SNOMED	
37109721	723554006	Aplasia cutis congenita with epibulbar dermoid syndrome	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	
36717393	720500008	Aplasia cutis congenita with intestinal lymphangiectasia syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	
4301294	403757004	Aplasia cutis in Chromosome 4 short-arm deletion syndrome (Wolf-Hirschhorn)	Disorder	Standard	07/30/2003	12/30/2099	80	80	10	10	Condition	SNOMED	
4301296	403763008	Aplasia cutis in Johanson-Blizzard syndrome	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
4295482	403756008	Aplasia cutis in Trisomy 13 syndrome	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	
36715035	720499004	Aplasia cutis with myopia syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	
37160894	1169365006	Aquagenic palmoplantar keratoderma	Disorder	Standard	09/29/2021	12/30/2099	0	0	0	0	Condition	SNOMED	
