Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
4141029	425879009	AA amyloid nephropathy	Disorder	Standard	07/30/2007	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'AA amyloidosis'"">1"
4161207	371627004	ACE inhibitor-aggravated angioedema	Disorder	Standard	07/30/2002	12/30/2099	1,770	1,770	1,070	1,070	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
45766603	703802001	Acquired angioedema due to C1 inhibitor autoantibody	Disorder	Standard	07/30/2014	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acquired C1 esterase inhibitor deficiency'"">1"
45766602	703801008	Acquired angioedema due to lymphoproliferative disorder	Disorder	Standard	07/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acquired C1 esterase inhibitor deficiency'"">1"
4086741	241955009	Acquired C1 esterase inhibitor deficiency	Disorder	Standard	01/30/2002	12/30/2099	140	150	20	20	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
314381	75053002	Acute febrile mucocutaneous lymph node syndrome	Disorder	Standard	01/30/2002	12/30/2099	537,090	537,090	110,410	110,410	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''"">0"
4294427	402856005	Acute hemorrhagic edema of childhood	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Immunoglobulin A vasculitis'"">1"
607766	1155919006	Acute rheumatic aortitis	Disorder	Standard	07/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
4216531	81077008	Acute rheumatic arthritis	Disorder	Standard	01/30/2002	12/30/2099	100	100	60	60	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
606882	1148763004	Acute rheumatic carditis	Disorder	Standard	07/30/2021	12/30/2099	0	124,000	0	51,840	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
437897	18192007	Acute rheumatic endocarditis	Disorder	Standard	01/30/2002	12/30/2099	95,270	95,270	37,550	37,550	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
40394098	195528001	Acute rheumatic fever	Disorder	Standard	07/30/2021	12/30/2099	1,400	224,610	110	85,730	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
313500	312591002	Acute rheumatic heart disease	Disorder	Standard	01/30/2002	12/30/2099	76,790	223,090	23,940	85,550	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
321578	194709000	Acute rheumatic myocarditis	Disorder	Standard	01/30/2002	12/30/2099	28,700	28,700	14,290	14,290	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
4271684	64072006	Acute rheumatic pancarditis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
321586	15676002	Acute rheumatic pericarditis	Disorder	Standard	01/30/2002	12/30/2099	22,300	22,300	9,770	9,770	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
4225090	84871007	Acute rheumatic valvulitis	Disorder	Standard	01/30/2002	12/30/2099	30	30	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Rheumatic fever'"">1"
4125793	234529004	Acute sarcoid polymyositis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'PolymyositisSarcoidosis'"">2"
