Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
4119951	233844002	Accelerated coronary artery disease in transplanted heart	Disorder	Standard	01/30/2002	12/30/2099	580	580	150	150	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4328283	431456004	Accelerated rejection of bone marrow transplant	Disorder	Standard	07/30/2008	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4161515	431186002	Accelerated rejection of cardiac transplant	Disorder	Standard	07/30/2008	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4204157	433804007	Accelerated rejection of intestine transplant	Disorder	Standard	07/30/2008	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4332942	432777003	Accelerated rejection of liver transplant	Disorder	Standard	07/30/2008	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4330381	431507002	Accelerated rejection of lung transplant	Disorder	Standard	07/30/2008	12/30/2099	50	50	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4200619	433809002	Accelerated rejection of pancreas transplant	Disorder	Standard	07/30/2008	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4128370	236572007	Accelerated rejection of renal transplant	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
760855	121121000119106	Acute graft-versus-host reaction following bone marrow transplant	Disorder	Standard	02/29/2016	12/30/2099	0	0	0	0	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
4032298	236582008	Acute-on-chronic rejection of renal transplant	Disorder	Standard	01/30/2002	12/30/2099	10	10	10	10	Condition	SNOMED	"$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Disorder related to transplantation'"">1"
