	Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
	36713991	719046005	12q14 microdeletion syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	45765410	702342007	3-M syndrome	Disorder	Standard	07/30/2014	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37110077	724147004	8q13 microdeletion syndrome	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4082503	2391001	Achondrogenesis	Disorder	Standard	01/30/2002	12/30/2099	4,810	180,930	350	12,310	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4176152	42725006	Achondrogenesis, type IA	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4033691	14870002	Achondrogenesis, type IB	Disorder	Standard	01/30/2002	12/30/2099	20	20	10	10	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4111313	254061001	Achondrogenesis, type II	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4311402	86268005	Achondroplasia	Disorder	Standard	01/30/2002	12/30/2099	176,050	176,050	11,940	11,940	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36714975	720416007	Acrocapitofemoral dysplasia	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4281660	66758006	Acrodysostosis	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4305418	389167007	Acromesomelic dysplasia Hunter-Thompson type	Disorder	Standard	01/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36713640	718559000	Acromesomelic dysplasia Maroteaux type	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4111319	254090007	Acromicric dysplasia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4305415	389162001	Acroscyphodysplasia	Disorder	Standard	01/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4049369	20756002	Adult hypophosphatasia	Disorder	Standard	01/30/2002	12/30/2099	30	30	20	20	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	74737	203468000	Aneurysmal bone cyst	Disorder	Standard	01/30/2002	12/30/2099	109,010	109,410	43,920	43,940	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37209551	16583001000119104	Aneurysmal bone cyst of left ankle	Disorder	Standard	02/28/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Aneurysmal bone cyst'">1
	36684481	302211000119104	Aneurysmal bone cyst of left femur	Disorder	Standard	08/31/2018	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Aneurysmal bone cyst'">1
	37208284	1076951000119102	Aneurysmal bone cyst of left fibula	Disorder	Standard	02/28/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Aneurysmal bone cyst'">1
