	Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
	4170219	48236007	Asherman syndrome	Disorder	Standard	01/30/2002	12/30/2099	770	770	200	200	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37174325	881637171000119102	Bilateral granulomatous mastitis of breasts	Disorder	Standard	04/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Granulomatous mastitis'">1
	4146995	35543003	Cutaneous endometriosis	Disorder	Standard	01/30/2002	12/30/2099	190	42,910	90	22,650	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	139882	53913001	Endometriosis in scar of skin	Disorder	Standard	01/30/2002	12/30/2099	42,720	42,720	22,560	22,560	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	36717630	717699008	Endometriosis of large intestine	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	4176409	50993001	Endometriosis of lung	Disorder	Standard	01/30/2002	12/30/2099	90	90	40	40	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	4051345	233651009	Endometriosis of pleura	Disorder	Standard	01/30/2002	12/30/2099	40	40	20	20	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	36713394	717700009	Endometriosis of thorax	Disorder	Standard	01/30/2017	12/30/2099	70	200	20	80	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	4072148	17829005	Endometriosis of umbilicus	Disorder	Standard	01/30/2002	12/30/2099	170	170	110	110	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Endometriosis outside pelvis'">1
	4034016	237117005	Endometriosis outside pelvis	Disorder	Standard	01/30/2002	12/30/2099	50	43,330	30	22,870	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36674717	770436006	Familial juvenile hypertrophy of the breast	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	35624268	766927009	Familial supernumerary nipple	Disorder	Standard	07/30/2018	12/30/2099	10	10	10	10	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4130000	237444008	Granulomatous mastitis	Disorder	Standard	01/30/2002	12/30/2099	28,740	28,740	10,000	10,000	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37171738	414464311000119100	Granulomatous mastitis of left breast	Disorder	Standard	04/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Granulomatous mastitis'">1
	37173652	638862541000119108	Granulomatous mastitis of right breast	Disorder	Standard	04/29/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Granulomatous mastitis'">1
	4316372	95605009	HELLP syndrome	Disorder	Standard	01/30/2002	12/30/2099	126,070	126,070	47,030	47,030	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Pre-eclampsia'">1
	37167985	1269273000	Malignancy diagnosed during pregnancy	Disorder	Standard	04/29/2023	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37160895	1169366007	Menstrual cycle dependent periodic fever	Disorder	Standard	09/29/2021	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
