	Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
	37204312	782915004	Acquired hemophagocytic lymphohistiocytosis associated with malignant disease	Disorder	Standard	07/30/2019	12/30/2099	20	20	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	46273012	711480000	Activated PI3K-delta syndrome	Disorder	Standard	07/30/2015	12/30/2099	30	30	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	439416	402355000	Acute graft-versus-host disease	Disorder	Standard	07/30/2003	12/30/2099	229,200	250,180	22,980	26,410	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	760855	121121000119106	Acute graft-versus-host reaction following bone marrow transplant	Disorder	Standard	02/29/2016	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acute graft-versus-host diseaseGraft versus host disease'">2
	606420	1144963000	Acute on chronic graft-versus-host disease	Disorder	Standard	07/30/2021	12/30/2099	20,980	20,980	3,430	3,430	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Chronic graft-versus-host diseaseGraft versus host disease'">2
	602598	987840791000119102	Adenosine deaminase 2 deficiency	Disorder	Standard	07/30/2021	12/30/2099	980	980	130	130	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Adenosine deaminase deficiency'">1
	4261471	44940001	Adenosine deaminase deficiency	Disorder	Standard	01/30/2002	12/30/2099	4,750	5,730	870	1,000	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37205095	784392009	Adult chronic idiopathic neutropenia	Disorder	Standard	07/30/2019	12/30/2099	10	10	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37205096	784393004	Adult-onset immunodeficiency with anti-interferon-gamma autoantibodies	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37166798	1260096003	AIDS (acquired immunodeficiency syndrome) wasting syndrome	Disorder	Standard	12/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4030703	14333004	Alloimmune neonatal neutropenia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4123088	234558001	Anti-Haemophilus influenzae type b capsular polysaccharide antibody deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anti-polysaccharide antibody deficiency'">1
	36715033	720497002	Anti-human leukocyte antigen hyperimmunization	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4123089	234560004	Anti-meningococcal polysaccharide A antibody deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anti-polysaccharide antibody deficiency'">1
	4125802	234561000	Anti-meningococcal polysaccharide C antibody deficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anti-polysaccharide antibody deficiency'">1
	4125801	234559009	Anti-pneumococcal polysaccharide antibody deficiency	Disorder	Standard	01/30/2002	12/30/2099	60	60	20	20	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Anti-polysaccharide antibody deficiency'">1
	4125800	234557006	Anti-polysaccharide antibody deficiency	Disorder	Standard	01/30/2002	12/30/2099	10	70	0	20	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36715052	720520009	Attenuated Chédiak-Higashi syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Chédiak-Higashi syndrome'">1
	36716320	722288007	Autoimmune enteropathy and endocrinopathy with susceptibility to chronic infection syndrome	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	45765493	702444009	Autoimmune lymphoproliferative syndrome	Disorder	Standard	07/30/2014	12/30/2099	79,200	79,200	22,350	22,350	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37162742	1197361002	Autoimmune lymphoproliferative syndrome due to CTLA4 haploinsufficiency	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36716321	722290008	Autoimmune lymphoproliferative syndrome with recurrent viral infection	Disorder	Standard	01/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36680582	778004006	Autoinflammation-PLCG2-associated antibody deficiency-immune dysregulation	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	3663194	829973009	Autoinflammatory syndrome with pyogenic bacterial infection and amylopectinosis	Disorder	Standard	07/30/2020	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	45768769	707273001	Autosomal dominant dyskeratosis congenita	Disorder	Standard	01/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dyskeratosis congenita'">1
	37110778	725150008	Autosomal dominant mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 1 deficiency	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37110779	725151007	Autosomal dominant mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 2 deficiency	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	36674950	770947009	Autosomal dominant severe congenital neutropenia	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	45768768	707272006	Autosomal recessive dyskeratosis congenita	Disorder	Standard	01/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Dyskeratosis congenita'">1
	36675045	771309000	Autosomal recessive lymphoproliferative disease	Disorder	Standard	01/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37161022	1172892009	Autosomal recessive mendelian susceptibility to mycobacterial disease due to complete RORgamma receptor mutation	Disorder	Standard	09/29/2021	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37110896	725431001	Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 1 deficiency	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37110897	725432008	Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial interferon gamma receptor 2 deficiency	Disorder	Standard	07/30/2017	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37168355	1279842008	Autosomal recessive mendelian susceptibility to mycobacterial disease due to partial JAK1 deficiency	Disorder	Standard	04/29/2023	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37162746	1197366007	Autosomal recessive primary immunodeficiency with defective spontaneous natural killer cell cytotoxicity	Disorder	Standard	02/27/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37204524	783201001	Autosomal recessive severe congenital neutropenia due to CSF3R deficiency	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37204523	783200000	Autosomal recessive severe congenital neutropenia due to CXCR2 deficiency	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37204406	783058007	Autosomal recessive severe congenital neutropenia due to G6PC3 deficiency	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37203832	783199003	Autosomal recessive severe congenital neutropenia due to JAGN1 deficiency	Disorder	Standard	07/30/2019	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37164242	1229941002	Autosomal recessive T-cell negative, B-cell positive severe combined immunodeficiency due to CD45 deficiency	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37164241	1229940001	Autosomal recessive T-cell negative, B-cell positive severe combined immunodeficiency due to IL-7Ralpha deficiency	Disorder	Standard	05/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	37161424	1179300002	BENTA disease	Disorder	Standard	10/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	42538810	762618008	Bronchiolitis obliterans syndrome due to and after lung transplantation	Disorder	Standard	01/30/2018	12/30/2099	20	20	10	10	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Chronic graft-versus-host diseaseGraft versus host disease'">2
	37161191	1177120001	Bronchiolitis obliterans syndrome due to and following allogeneic stem cell transplant	Disorder	Standard	10/30/2021	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Chronic graft-versus-host diseaseGraft versus host disease'">2
	4120781	234633000	Centromeric instability of chromosomes 1,9 and 16 and immunodeficiency	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4006317	111396008	Chédiak-Higashi syndrome	Disorder	Standard	01/30/2002	12/30/2099	4,560	4,560	420	420	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
