	Id	Code	Name	Class	Standard Concept Caption	Valid Start Date	Valid End Date	RC	DRC	PC	DPC	Domain	Vocabulary	Ancestors
	192549	43894001	Abdominal actinomycosis	Disorder	Standard	01/30/2002	12/30/2099	32,420	32,430	11,240	11,250	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4345795	240459003	Abortive poliomyelitis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infection caused by Human poliovirus'">1
	36716000	721807009	Abscess caused by Entamoeba histolytica	Disorder	Standard	01/30/2017	12/30/2099	0	26,930	0	7,350	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infection due to Entamoeba histolytica'">1
	46270143	14770001000004107	Abscess of abdomen caused by Nocardia	Disorder	Standard	07/30/2015	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Nocardiosis'">1
	37160811	1163473005	Acanthameba keratoconjunctivitis	Disorder	Standard	09/29/2021	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Acanthamoeba keratitis'">1
	4338871	231896005	Acanthamoeba keratitis	Disorder	Standard	01/30/2002	12/30/2099	10,950	10,950	1,850	1,850	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4183170	4340003	Acrodermatitis atrophicans chronica	Disorder	Standard	01/30/2002	12/30/2099	8,530	8,530	5,690	5,690	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Lyme disease'">1
	4300233	402993003	Actinomycetoma due to Actinomadura madurae	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mycetoma'">1
	4298984	402994009	Actinomycetoma due to Actinomadura pelletieri	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mycetoma'">1
	4300232	402986002	Actinomycetoma due to Nocardia asteroides	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'NocardiosisMycetoma'">2
	4293285	402985003	Actinomycetoma due to Nocardia brasiliensis	Disorder	Standard	07/30/2003	12/30/2099	10	10	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'NocardiosisMycetoma'">2
	4290718	402129006	Actinomycetoma due to Nocardia infection	Disorder	Standard	07/30/2003	12/30/2099	30	40	10	10	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'NocardiosisMycetoma'">2
	4293286	402987006	Actinomycetoma due to Nocardia otitidis caviarum	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'NocardiosisMycetoma'">2
	4300234	402995005	Actinomycetoma due to Streptomyces somaliensis	Disorder	Standard	07/30/2003	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mycetoma'">1
	4034225	237448006	Actinomycosis of breast	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4090695	186394003	Actinomycosis of cecum	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4130333	237048004	Actinomycosis of fallopian tube	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4041676	230209006	Actinomycotic brain abscess	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4034008	237085007	Actinomycotic cervicitis	Disorder	Standard	01/30/2002	12/30/2099	10	10	10	10	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	37160737	1163145003	Actinomycotic colitis	Disorder	Standard	09/29/2021	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	37162493	1193731009	Actinomycotic enteritis of intestine	Disorder	Standard	01/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	37162492	1193729000	Actinomycotic enteritis of small intestine	Disorder	Standard	01/30/2022	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	436020	11817007	Actinomycotic infection	Disorder	Standard	01/30/2002	12/30/2099	277,140	477,750	112,140	180,420	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: ''">0
	4088233	186397005	Actinomycotic madura foot	Disorder	Standard	01/30/2002	12/30/2099	10	10	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mycetoma'">1
	4105195	192649000	Actinomycotic meningitis	Disorder	Standard	01/30/2002	12/30/2099	420	420	120	120	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4087897	187089001	Actinomycotic mycetoma	Disorder	Standard	01/30/2002	12/30/2099	3,500	3,550	850	860	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Mycetoma'">1
	4112822	195908008	Actinomycotic pneumonia	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4056172	197964007	Actinomycotic prostatitis	Disorder	Standard	01/30/2002	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Actinomycotic infection'">1
	4085622	186116005	Acute amebic dysentery	Disorder	Standard	01/30/2002	12/30/2099	11,680	22,470	6,200	13,040	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infection due to Entamoeba histolytica'">1
	196623	111912001	Acute amebic dysentery without abscess	Disorder	Standard	01/30/2002	12/30/2099	10,790	10,790	6,840	6,840	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infection due to Entamoeba histolytica'">1
	4090674	186311005	Acute and fulminating melioidosis	Disorder	Standard	01/30/2002	12/30/2099	830	830	200	200	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Melioidosis'">1
	437899	266237004	Acute and subacute bacterial endocarditis	Disorder	Standard	01/30/2002	12/30/2099	1,041,010	1,041,010	198,120	198,120	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infective endocarditis'">1
	3654665	838358000	Acute and subacute endocarditis of left side of heart due to infection	Disorder	Standard	07/30/2020	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infective endocarditis'">1
	37167578	1268520007	Acute and subacute endocarditis of right side of heart due to infection	Disorder	Standard	03/30/2023	12/30/2099	0	0	0	0	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infective endocarditis'">1
	435563	194926000	Acute and subacute infective endocarditis associated with another disorder	Disorder	Standard	01/30/2002	12/30/2099	41,740	41,740	15,260	15,260	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infective endocarditis'">1
	4009624	111286002	Acute bacterial endocarditis	Disorder	Standard	01/30/2002	12/30/2099	3,180	1,044,210	900	199,030	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infective endocarditis'">1
	40490363	446957000	Acute bulbar poliomyelitis due to Human poliovirus 1	Disorder	Standard	01/30/2011	12/30/2099	4,310	4,310	410	410	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infection caused by Human poliovirus'">1
	40487367	446311006	Acute bulbar poliomyelitis due to Human poliovirus 2	Disorder	Standard	01/30/2011	12/30/2099	550	550	190	190	Condition	SNOMED	$parents[1].showAncestorsModal(d.CONCEPT_ID), tooltip: 'Infection caused by Human poliovirus'">1
