Code	Name	HPO
770401007	10q22.3q23.3 microdeletion syndrome	[0, [], null, []]
782669004	10q22.3q23.3 microduplication syndrome	[0, [], null, []]
770794008	11p15.4 microduplication syndrome	[0, [], null, []]
1229882003	11q22.2q22.3 microdeletion syndrome	[0, [], null, []]
778007004	12p12.1 microdeletion syndrome	[0, [], null, []]
14091009	12p partial trisomy syndrome	[0, [], null, []]
719046005	12q14 microdeletion syndrome	[0, [], null, []]
734030009	12q15q21.1 microdeletion syndrome	[0, [], null, []]
773547003	13q12.3 microdeletion syndrome	[0, [], null, []]
719047001	14q11.2 microdeletion syndrome	[0, [], null, []]
771341006	14q11.2 microduplication syndrome	[0, [], null, []]
719574007	14q12 microdeletion syndrome	[0, [], null, []]
771439009	14q22q23 microdeletion syndrome	[0, [], null, []]
773494008	14q24.1q24.3 microdeletion syndrome	[0, [], null, []]
1234830005	14q32 duplication syndrome	[0, [], null, []]
20348002	14q partial distal trisomy syndrome	[0, [], null, []]
771340007	15q11.2 microdeletion syndrome	[0, [], null, []]
719427001	15q11q13 microduplication syndrome	[0, [], null, []]
699254009	15q13.3 microdeletion	[0, [], null, []]
719575008	15q14 microdeletion syndrome	[0, [], null, []]
771477003	15q overgrowth syndrome	[0, [], null, []]
719576009	16p11.2p12.2 microdeletion syndrome	[0, [], null, []]
733518000	16p11.2p12.2 microduplication syndrome	[0, [], null, []]
1251450006	16p12.1p12.3 triplication syndrome	[0, [], null, []]
719577000	16p13.11 microdeletion syndrome	[0, [], null, []]
719578005	16p13.11 microduplication syndrome	[0, [], null, []]
1228890005	16p13.2 microdeletion syndrome	[0, [], null, []]
733473000	16p13.3 microduplication syndrome	[0, [], null, []]
770760006	16q24.1 microdeletion syndrome	[0, [], null, []]
719580004	16q24.3 microdeletion syndrome	[0, [], null, []]
49013001	17 alpha-Hydroxyprogesterone aldolase deficiency	[0, [], null, []]
734016004	17p11.2 microduplication syndrome	[0, [], null, []]
719582007	17p13.3 microduplication syndrome	[0, [], null, []]
719583002	17q11.2 microduplication syndrome	[0, [], null, []]
880093002	17q11 deletion syndrome	[0, [], null, []]
733519008	17q12 microdeletion syndrome	[0, [], null, []]
764435003	17q12 microduplication syndrome	[0, [], null, []]
716683005	17q21.31 microduplication syndrome	[0, [], null, []]
719584008	17q23.1q23.2 microdeletion syndrome	[0, [], null, []]
1229873009	17q24.2 microdeletion syndrome	[0, [], null, []]
890116005	17q24-qter duplication syndrome	[0, [], null, []]
56653005	18p partial monosomy syndrome	[0, [], null, []]
4199009	18p partial trisomy syndrome	[0, [], null, []]
4242009	18q partial monosomy syndrome	[0, [], null, []]
719597005	19p13.12 microdeletion syndrome	[0, [], null, []]
764440006	19p13.13 microdeletion syndrome	[0, [], null, []]
1229883008	19p13.3 microduplication syndrome	[0, [], null, []]
719599008	19q13.11 microdeletion syndrome	[0, [], null, []]
719600006	1p21.3 microdeletion syndrome	[0, [], null, []]
766766005	1p31p32 microdeletion syndrome	[0, [], null, []]
1228844002	1p35.2 microdeletion syndrome	[0, [], null, []]
699306003	1p36 deletion syndrome	[0, [], null, []]
699305004	1q21.1 microdeletion	[0, [], null, []]
771337007	1q21.1 microduplication syndrome	[0, [], null, []]
716515000	1q41q42 microdeletion syndrome	[0, [], null, []]
719649004	1q44 microdeletion syndrome	[0, [], null, []]
719650004	20p12.3 microdeletion syndrome	[0, [], null, []]
773346008	20p13 microdeletion syndrome	[0, [], null, []]
111311004	20p partial trisomy syndrome	[0, [], null, []]
1229891004	20q11.2 microdeletion syndrome	[0, [], null, []]
763061004	20q11.2 microduplication syndrome	[0, [], null, []]
733520002	20q13.33 microdeletion syndrome	[0, [], null, []]
787171006	21q22.11q22.12 microdeletion syndrome	[0, [], null, []]
15841002	21q partial monosomy syndrome	[0, [], null, []]
767263007	22q11.2 deletion syndrome	[0, [], null, []]
699311001	22q11.2 duplication syndrome	[0, [], null, []]
699310000	22q13.3 deletion syndrome	[0, [], null, []]
782918002	2-aminoadipic 2-oxoadipic aciduria	[0, [], null, []]
791000124107	2-methyl-3-hydroxybutyric aciduria	[0, [], null, []]
770756008	2p13.2 microdeletion syndrome	[0, [], null, []]
719651000	2p15p16.1 microdeletion syndrome	[0, [], null, []]
719652007	2p21 microdeletion syndrome	[0, [], null, []]
770754006	2p21 microdeletion syndrome without cystinuria	[0, [], null, []]
719657001	2q23.1 microdeletion syndrome	[0, [], null, []]
766816008	2q23.1 microduplication syndrome	[0, [], null, []]
719658006	2q24 microdeletion syndrome	[0, [], null, []]
716387004	2q31.1 microdeletion syndrome	[0, [], null, []]
719659003	2q32q33 microdeletion syndrome	[0, [], null, []]
763062006	2q33.1 microdeletion syndrome	[0, [], null, []]
238033007	3-Beta-hydroxy-delta-5-C27-steroid dehydrogenase deficiency	[0, [], null, []]
54470008	3 beta-Hydroxysteroid dehydrogenase deficiency	[0, [], null, []]
725286002	3-hydroxy-3-methylglutaryl-coenzyme A synthase deficiency	[0, [], null, []]
237957007	3-Hydroxyisobutyric aciduria	[0, [], null, []]
307130006	3-Ketoacyl-CoA triolase deficiency	[0, [], null, []]
237951008	3-Methylglutaconic aciduria type 1	[0, [], null, []]
297231002	3-Methylglutaconic aciduria type 2	[0, [], null, []]
297232009	3-Methylglutaconic aciduria type 3	[0, [], null, []]
297233004	3-Methylglutaconic aciduria type 4	[0, [], null, []]
711412004	3-methylglutaconic aciduria type 5	[0, [], null, []]
764860006	3-methylglutaconic aciduria type 7	[0, [], null, []]
1222671009	3-methylglutaconic aciduria type 8	[0, [], null, []]
1222672002	3-methylglutaconic aciduria type 9	[0, [], null, []]
711409002	3-methylglutaconic aciduria type IV with sensorineural deafness, encephalopathy and Leigh-like syndrome	[0, [], null, []]
702342007	3-M syndrome	[0, [], null, []]
57514000	3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency	[0, [], null, []]
890123006	3p25.3 deletion syndrome	[0, [], null, []]
303098002	3-Phosphoglycerate dehydrogenase deficiency	[0, [], null, []]
733637001	3-phosphoglycerate dehydrogenase deficiency infantile form	[0, [], null, []]
733636005	3-phosphoglycerate dehydrogenase deficiency juvenile form	[0, [], null, []]
726705007	3q13 microdeletion syndrome	[0, [], null, []]
778073001	3q26 microduplication syndrome	[0, [], null, []]
778000002	3q26q27 microdeletion syndrome	[0, [], null, []]
770719004	3q27.3 microdeletion syndrome	[0, [], null, []]
716456000	3q29 microdeletion syndrome	[0, [], null, []]
717973004	3q29 microduplication	[0, [], null, []]
733622000	46,XX disorder of sex development with anorectal anomalies syndrome	[0, [], null, []]
733621007	46,XX disorder of sex development with skeletal anomalies syndrome	[0, [], null, []]
1237345002	46,XX ovarian dysgenesis, short stature syndrome	[0, [], null, []]
1234906009	46,XX ovotesticular disorder of sex development	[0, [], null, []]
783092005	46,XY disorder of sex development, adrenal insufficiency due to CYP11A1 deficiency	[0, [], null, []]
1231281009	46,XY disorder of sex development due to isolated 17,20-lyase deficiency	[0, [], null, []]
783091003	46,XY gonadal dysgenesis, motor and sensory neuropathy syndrome	[0, [], null, []]
763683004	46,XY ovotesticular disorder of sex development	[0, [], null, []]
725045004	46,XY partial gonadal dysgenesis	[0, [], null, []]
733625003	48,XYYY syndrome	[0, [], null, []]
770908007	49,XXXYY syndrome	[0, [], null, []]
734028007	49,XYYYY syndrome	[0, [], null, []]
1208933000	4H leukodystrophy	[0, [], null, []]
726706008	4p16.3 microduplication syndrome	[0, [], null, []]
49024004	4p partial trisomy syndrome	[0, [], null, []]
719660008	4q21 microdeletion syndrome	[0, [], null, []]
1251452003	4q25 proximal deletion syndrome	[0, [], null, []]
41797007	5,10-Methylenetetrahydrofolate reductase deficiency	[0, [], null, []]
725289009	5-amino-4-imidazole carboxamide ribosiduria	[0, [], null, []]
770793002	5p13 microduplication syndrome	[0, [], null, []]
70173007	5p partial monosomy syndrome	[0, [], null, []]
74008005	5p partial trisomy	[0, [], null, []]
719661007	5q14.3 microdeletion syndrome	[0, [], null, []]
768555009	5q31.3 microdeletion syndrome	[0, [], null, []]
719665003	5q35 microduplication syndrome	[0, [], null, []]
719662000	6p22 microdeletion syndrome	[0, [], null, []]
